Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Agnes of God,0.941715367751057,0.595362608538172,0.3360230754767916,0.2452528217316296,0.1312844249007633,0.4262982526227107,Monster/Killer/Victim,Future,Daytime,['Drama']
Air Force One,0.6260139963895248,0.8128859409174347,0.1880431293362051,0.4427598277512732,0.3533433859972313,0.05498189616752,Monster/Killer/Victim,Past,Nighttime,"['Drama', 'Adventure', 'Action', 'Thriller']"
Airplane 2 The Sequel,0.831737525533139,0.7870798575178347,0.4204640108858388,0.1885202202794678,0.037172810746314,0.2400810580696194,Realist,Future,Daytime,"['Comedy', 'Sci-Fi']"
Airplane,0.7846482526361975,0.7130496126119771,0.1190156288076083,0.2513851004076445,0.4937005597573906,0.4553936186265338,Detective/Spy,Past,Nighttime,"['Comedy', 'Romance']"
Aladdin,0.5951686944125134,0.6544238224002822,0.2711752351183394,0.4598137172295107,0.498842258430428,0.3240550159964362,Realist,Past,Daytime,"['Fantasy', 'Comedy', 'Family']"
Ali,0.8583411693758425,0.689428745265037,0.2878007020633567,0.2861928214450251,0.3229557108822333,0.4276103996516464,Creature/Royalty/Knight/Sorcerer,Past,Daytime,['Drama']
Alien 3,0.4342914694119269,0.1537568902815958,0.0067018293213506,0.3965113548932461,0.8020615225680262,0.9153294310276388,Spouse/Lover/Ex,Past,Daytime,"['Horror', 'Drama', 'Thriller', 'Sci-Fi', 'Action']"
Alien Nation,0.1225167454060547,0.2142473390134919,0.3605218129133279,0.050012571567277,0.9286579162861311,0.6794599725827835,Soldier,Past,Daytime,"['Crime', 'Drama', 'Sci-Fi']"
Alien Resurrection,0.3666832383044415,0.3202041923955869,0.0718916013513177,0.3877084717355924,0.8686035249144897,0.7487001893884025,Realist,Future,Nighttime,"['Horror', 'Action', 'Sci-Fi', 'Thriller']"
Alien vs. Predator,0.3548917342410763,0.1930112768696315,0.1164984383747863,0.213503919167156,0.5779888577879115,0.8847265074204687,Realist,Present,Daytime,"['Horror', 'Action', 'Sci-Fi', 'Thriller']"
Alien,0.0340686559159211,0.3507238506938979,0.4256716685243011,0.3738490825591617,0.5992690944922741,0.9600986828560214,Realist,Present,Daytime,"['Horror', 'Action', 'Sci-Fi', 'Thriller']"
Aliens,0.0695173649303468,0.2927158325444637,0.2336054486854616,0.4229295249248263,0.6329083320215254,0.5509580172173487,Realist,Past,Nighttime,"['Horror', 'Action', 'Sci-Fi', 'Thriller']"
All About Eve,0.6075146716948452,0.8927944389660611,0.2125921255661333,0.398861158270831,0.0274093915462996,0.3458476894907883,Fighter,Future,Nighttime,['Drama']
All About Steve,0.7681247591548033,0.8433230868559034,0.0525798659712942,0.4991652726597683,0.4609046897790801,0.135326513965436,Detective/Spy,Past,Daytime,['Comedy']
All the Kings Men,0.5819142174896923,0.5901924967377534,0.3383634027087639,0.3341154323482837,0.2657128042654879,0.2324254097816495,Fighter,Future,Daytime,['Drama']
All the Presidents Men,0.8797457357578817,0.9156448657969,0.4444619938742656,0.286257642610275,0.3521797973324567,0.407340973096413,Realist,Past,Daytime,"['Drama', 'Thriller']"
Almost Famous,0.7154925294804879,0.7730202999100027,0.271227227341249,0.1389051340604813,0.2011174373412716,0.0077535933557442,Monster/Killer/Victim,Past,Daytime,"['Comedy', 'Drama', 'Romance']"
Alone in the Dark,0.7073088483135788,0.6848500473563964,0.2827343046334847,0.0205162359167873,0.3313757285603247,0.0344239359264969,Detective/Spy,Present,Nighttime,"['Horror', 'Action', 'Thriller']"
